"","ID","hour0","hour1","hour10","hour11","hour12","hour13","hour14","hour15","hour16","hour17","hour18","hour19","hour2","hour20","hour21","hour22","hour23","hour3","hour4","hour5","hour6","hour7","hour8","hour9"
"360",360,"61","20","1","1","1","5","1","1","1","1","2","3","62","1","1","1","30","62","50","24","9","1","1","1"
"361",361,"42","24","1","1","1","1","1","2","2","2","1","1","73","1","1","23","69","10","18","25","8","1","1","1"
"362",362,"69","7","1","1","1","1","1","2","2","4","5","1","29","1","1","9","48","16","19","13","26","1","1","1"
"363",363,"4","20","1","1","1","1","1","3","2","6","5","6","3","1","1","1","41","11","54","8","58","1","1","1"
"364",364,"2","57","1","1","1","3","1","1","1","1","4","4","29","1","1","1","62","36","47","13","15","1","1","1"
"365",365,"35","7","1","1","1","1","1","3","2","4","5","1","20","1","1","1","42","21","25","30","52","1","1","1"
"366",366,"4","19","1","1","1","3","1","1","1","1","4","4","4","1","1","24","32","6","17","16","46","1","1","1"
"367",367,"4","24","1","1","1","1","1","2","2","4","1","1","29","1","1","1","45","47","14","33","40","1","1","1"
"368",368,"57","29","1","1","1","3","1","1","1","1","4","4","1","1","1","1","72","3","8","13","70","1","1","1"
"369",369,"5","3","1","1","1","4","1","1","1","1","2","3","5","1","1","2","1","2","12","15","20","1","1","1"
"370",370,"19","17","1","1","1","3","1","1","1","1","4","3","16","1","1","1","58","10","1","51","50","1","1","1"
"371",371,"37","24","1","2","13","1","2","3","2","4","5","1","16","1","1","6","37","56","24","1","12","2","1","1"
"372",372,"46","30","8","1","2","2","1","4","3","3","3","2","9","1","2","1","59","37","49","51","72","1","1","1"
"373",373,"17","8","1","1","1","1","1","2","2","4","1","1","72","1","1","1","20","23","59","18","69","1","1","1"
"374",374,"30","3","1","1","1","2","1","1","1","1","2","2","36","1","1","1","29","6","3","16","6","1","1","1"
"375",375,"8","10","1","1","1","3","1","1","6","1","4","4","22","1","1","1","15","14","27","27","1","1","1","1"
"376",376,"56","20","1","1","1","1","1","2","4","2","1","1","71","1","1","1","15","12","40","3","45","1","1","1"
"377",377,"19","19","1","1","1","3","1","1","6","1","4","4","40","1","1","2","52","2","55","61","42","1","1","1"
"378",378,"67","26","1","1","1","1","1","3","2","4","5","1","26","1","2","1","15","10","41","36","23","1","1","1"
"379",379,"60","3","1","1","2","1","1","2","2","4","5","1","19","1","1","1","50","50","16","4","20","1","1","1"
"380",380,"31","20","1","1","1","2","1","4","3","3","3","2","61","1","2","12","51","45","41","30","3","1","1","1"
"381",381,"39","63","1","1","1","3","1","1","1","1","4","4","57","1","1","1","19","37","39","13","11","1","1","1"
"382",382,"4","14","1","1","1","2","1","4","3","3","3","2","46","8","1","12","63","31","41","27","25","1","1","1"
"383",383,"32","44","1","1","1","3","1","1","6","1","4","4","12","8","1","1","66","12","5","57","33","1","1","1"
"384",384,"5","20","1","1","1","3","1","3","2","1","4","4","55","1","1","12","41","54","8","51","12","1","1","1"
"385",385,"41","30","1","1","1","1","1","3","2","4","5","1","44","1","1","1","3","16","13","10","52","1","1","1"
"386",386,"15","55","1","1","1","1","1","2","2","2","1","1","14","1","1","1","50","6","1","4","10","1","1","1"
"387",387,"72","57","1","1","1","3","1","3","6","4","5","4","36","1","1","1","45","28","5","17","1","1","1","1"
"388",388,"44","81","1","1","1","4","1","5","1","1","2","3","65","1","1","1","39","11","27","49","40","1","1","1"
"389",389,"8","11","1","1","1","3","1","1","6","4","4","4","8","1","1","1","40","58","44","4","49","1","1","1"
"390",390,"15","56","1","1","1","5","1","1","1","1","2","3","14","1","1","1","16","27","15","8","7","1","1","1"
"391",391,"5","24","1","1","1","4","1","5","1","1","2","3","44","1","1","1","14","6","8","36","20","1","1","1"
"392",392,"1","60","1","1","1","4","1","5","4","2","1","1","21","1","1","1","19","9","51","43","16","1","1","1"
"393",393,"19","13","1","1","1","5","1","1","1","1","2","3","2","1","1","1","31","4","21","37","57","1","1","1"
"394",394,"5","24","1","1","1","5","1","1","1","1","2","3","24","1","1","1","17","43","44","17","17","1","1","1"
"395",395,"31","12","1","1","1","1","1","3","4","7","1","1","30","1","1","1","66","7","22","29","36","1","1","1"
"396",396,"17","52","1","1","1","4","1","5","4","2","1","1","42","1","1","1","13","9","38","26","7","1","1","1"
"397",397,"5","71","1","1","1","3","1","1","1","1","4","4","43","1","1","1","24","29","31","13","22","1","1","1"
"398",398,"2","26","1","1","1","4","1","5","4","1","2","1","4","1","1","1","50","1","23","12","15","1","1","1"
"399",399,"2","71","1","1","1","2","1","1","1","1","2","2","74","1","1","1","33","6","20","17","1","1","1","1"
"400",400,"17","27","1","1","1","1","1","3","2","4","1","1","42","1","1","1","10","25","59","1","17","1","1","1"
"401",401,"17","71","1","1","1","1","1","2","4","2","1","1","17","1","1","1","13","23","44","56","31","1","1","1"
"402",402,"72","17","1","1","1","3","1","1","1","1","4","4","10","1","1","1","80","22","10","24","1","1","1","1"
"403",403,"19","13","1","1","1","1","1","3","2","4","1","1","56","1","1","1","2","43","57","43","16","1","1","1"
"404",404,"34","27","1","1","1","3","1","1","1","1","4","4","65","1","3","1","26","52","55","25","17","1","1","1"
"405",405,"2","83","1","1","1","4","1","5","1","1","2","3","12","1","1","1","32","10","1","23","6","1","1","1"
"406",406,"5","60","1","1","1","3","1","1","1","1","4","4","17","1","1","14","74","8","20","16","8","1","1","1"
"407",407,"44","13","1","1","1","4","1","5","1","1","2","3","8","1","1","1","12","60","58","8","27","1","1","1"
"408",408,"30","49","1","1","1","3","1","1","1","1","4","4","34","1","1","14","13","23","58","15","3","1","1","1"
"409",409,"1","53","1","1","1","4","1","5","1","1","2","3","43","1","1","2","4","14","44","63","13","1","1","1"
"410",410,"1","49","1","1","1","4","1","1","1","1","2","3","65","1","2","2","62","27","56","3","4","1","1","1"
"411",411,"10","80","1","1","2","1","2","2","2","4","5","1","56","2","1","2","4","19","42","11","7","1","1","1"
"412",412,"41","16","2","2","2","2","2","4","3","3","3","2","22","2","2","2","23","47","21","5","9","1","1","1"
"413",413,"17","20","1","2","2","2","2","4","3","3","3","2","74","2","2","2","23","4",NA,"16","65","1","1","1"
"414",414,"72","38","13","2","2","2","2","4","3","3","3","2","60","2","6","2","15","51",NA,"13","24","1","1","1"
"415",415,"44","81","10","2","5","2","8","4","3","3","3","2","71","2","2","2","6","23",NA,"25","25","1","1","3"
