"","stations","lon","lat","address"
"414","Prince of Wales Drive, Battersea Park, London, United Kingdom",-0.1564981,51.4791075,"battersea park, battersea, london sw11 4nj, uk"
"415","Queen Mother Sports Centre, Victoria, London, United Kingdom",-0.1404267,51.4936977,"223 vauxhall bridge rd, pimlico, london sw1v 1el, uk"
"416","Hatton Garden, Holborn, London, United Kingdom",-0.1083448,51.5200724,"hatton garden, holborn, london ec1n, uk"
"417","Newgate Street , St. Paul's, London, United Kingdom",-0.0983506,51.5138453,"st. paul's churchyard, london ec4m 8ad, uk"
"418","New Fetter Lane, Holborn, London, United Kingdom",-0.1080655,51.5166421,"new fetter ln, holborn, london, uk"
"419","Euston Road, Euston, London, United Kingdom",-0.1339,51.52814,"station, road, euston nw1 2ds, uk"
"420","Goswell Road (City Uni), Finsbury, London, United Kingdom",-0.1024624,51.5279719,"northampton square, clerkenwell, london ec1v 0hb, uk"
"421","Christopher Street, Liverpool Street, London, United Kingdom",-0.0850242,51.5204319,"52 wilson st, finsbury, london ec2a 2er, uk"
"422","St. John Street, Finsbury, London, United Kingdom",-0.1039001,51.5253498,"218 st john st, clerkenwell, london ec1v 4at, uk"
"423","Courland Grove, Wandsworth Road, London, United Kingdom",-0.1324144,51.4744356,"courland st & wandsworth rd, larkhall, london sw8 2js, uk"
"424","South Kensington Station, South Kensington, London, United Kingdom",-0.1747855,51.4944371,"south kensington station (stop e), south kensington, london sw7 2la, uk"
"425","Tallis Street, Temple, London, United Kingdom",-0.1072051,51.5118826,"tallis st, temple, london ec4y, uk"
"426","Embankment (Savoy), Strand, London, United Kingdom",-0.1210495,51.5104568,"strand, london wc2r 0ez, uk"
"427","Alma Road, Wandsworth, London, United Kingdom",-0.1861107,51.4593836,"alma rd, london sw18, uk"
"428","Beaumont Street, Marylebone, London, United Kingdom",-0.1507174,51.5212323,"beaumont st, marylebone, london w1u, uk"
"429","The Green Bridge, Mile End, London, United Kingdom",-0.0354043,51.5248642,"the green bridge, mile end, london e3 4pl, uk"
"430","Woodstock Street, Mayfair, London, United Kingdom",-0.1474029,51.514177,"woodstock st, mayfair, london, uk"
"431","Queen Street 2, Bank, London, United Kingdom",-0.093291,51.5113212,"floor 2, 36 queen st, london ec4r 1bn, uk"
"432","Merchant Street, Bow, London, United Kingdom",-0.0268469,51.5260509,"merchant st, bow, london e3, uk"
"433","Golden Square, Soho, London, United Kingdom",-0.1375283,51.5115104,"golden square, west end, london, uk"
"434","Osiers Road, Wandsworth, London, United Kingdom",-0.1982143,51.4615588,"osiers rd, london sw18, uk"
"435","Albert Square, Stockwell, London, United Kingdom",-0.1191557,51.4770415,"albert square, stockwell, london sw8, uk"
"436","Exhibition Road Museums, South Kensington, London, United Kingdom",-0.1741904,51.4986345,"exhibition rd, south kensington, london sw7, uk"
"437","Hoxton Street, Hoxton, London, United Kingdom",-0.0801892,51.5308676,"hoxton st, hoxton, london, uk"
"438","Hammersmith Road, Hammersmith, London, United Kingdom",-0.2158343,51.4936403,"hammersmith rd, hammersmith, london, uk"
"439","Liverpool Road (N1 Centre), Angel, London, United Kingdom",-0.1061867,51.5341902,"21 parkfield st, islington, london n1 0ps, uk"
"440","Star Road, West Kensington, London, United Kingdom",-0.2061861,51.4871594,"star rd, west kensington, london w14, uk"
"441","Preston's Road, Cubitt Town, London, United Kingdom",-0.0076849,51.5041459,"preston's rd, london e14, uk"
"442","Tysoe Street, Clerkenwell, London, United Kingdom",-0.1088546,51.5265889,"tysoe st, farringdon, london, uk"
"443","Belgrave Square, Belgravia, London, United Kingdom",-0.152791,51.4985756,"belgrave square, belgravia, london sw1x, uk"
"444","Whiston Road, Haggerston, London, United Kingdom",-0.0700985,51.5350054,"whiston rd, london, uk"
"445","Smith Square, Westminster, London, United Kingdom",-0.1269987,51.4957011,"smith square, westminster, london sw1p, uk"
"446","Westferry DLR, Limehouse, London, United Kingdom",-0.02672,51.50943,"westferry dlr station, poplar, london e14, uk"
"447","Upper Richmond Road, Putney, London, United Kingdom",-0.2174817,51.4609858,"upper richmond rd, putney, london sw15, uk"
"448","Gloucester Avenue, Camden Town, London, United Kingdom",-0.1504377,51.5400148,"gloucester ave, camden town, london nw1, uk"
"449","Collingham Gardens, Earl's Court, London, United Kingdom",-0.1872443,51.4922144,"collingham gardens, earl's court, london sw5, uk"
"450","Kennington Road  , Vauxhall, London, United Kingdom",-0.1112445,51.4886945,"kennington rd, vauxhall, london, uk"
"451","Tooley Street, Bermondsey, London, United Kingdom",-0.0772673,51.5022194,"tooley st, bermondsey, london se1, uk"
"452","Hewison Street, Old Ford, London, United Kingdom",-0.0271964,51.5325185,"hewison st, bow, london e3, uk"
"453","Spencer Park, Wandsworth Common, London, United Kingdom",-0.174778,51.4572826,"wandsworth common, spencer park, london sw18, uk"
"454","Parsons Green Station, Parsons Green, London, United Kingdom",-0.201252,51.475048,"parsons green station, parsons green ln, fulham, london sw6 4hs, uk"
"455","Rifle Place, Avondale, London, United Kingdom",-0.2166527,51.509022,"rifle pl, notting hill, london w11, uk"
"456","West Smithfield Rotunda, Farringdon, London, United Kingdom",-0.1031032,51.5182569,"w smithfield, farringdon, london, uk"
"457","Borough Road, Elephant & Castle, London, United Kingdom",-0.1005983,51.499018,"borough rd, london se1, uk"
"458","Macclesfield Rd, St Lukes, London, United Kingdom",-0.0966528,51.5287085,"macclesfield rd, london ec1v, uk"
"459","Bath Street, St. Luke's, London, United Kingdom",-0.0911521,51.5267761,"bath st, london ec1v, uk"
"460","Frampton Street, Paddington, London, United Kingdom",-0.1730228,51.5246859,"frampton st, london, uk"
"461","Kensington Church Street, Kensington, London, United Kingdom",-0.1940892,51.5055104,"kensington church st, london, uk"
"462","Chelsea Green, Chelsea, London, United Kingdom",-0.1661007,51.4908377,"2 elystan st, chelsea, london sw3 3ns, uk"
"463","Breams Buildings, Holborn, London, United Kingdom",-0.1104499,51.5160725,"bream's buildings, holborn, london, uk"
"464","Denyer Street, Knightsbridge, London, United Kingdom",-0.1653479,51.4933793,"denyer st, chelsea, london sw3, uk"
"465","Euston Square Gardens, Euston, London, United Kingdom",-0.1307808,51.5272888,"euston rd & euston square, london nw1 2bh, uk"
"466","New Globe Walk, Bankside, London, United Kingdom",-0.0962925,51.5083239,"new globe walk & bankside, london se1 9dt, uk"
"467","Abbotsbury Road, Holland Park, London, United Kingdom",-0.2082162,51.5047598,"holland park & abbotsbury rd, kensington, london w11 3ry, uk"
"468","Kings Gate House, Westminster, London, United Kingdom",-0.137598,51.497698,"kings gate house, westminster, westminster, london sw1e 6sd, uk"
"469","Gloucester Road (North), Kensington, London, United Kingdom",-0.1829272,51.4952605,"gloucester rd, south kensington, london, uk"
"470","Eccleston Place, Victoria, London, United Kingdom",-0.1475101,51.494364,"eccleston pl, victoria, london sw1w, uk"
"471","Sloane Avenue, Knightsbridge, London, United Kingdom",-0.1589768,51.4971983,"sloane st, london, uk"
"472","Ossulston Street, Somers Town, London, United Kingdom",-0.1304258,51.5315115,"ossulston st, somers town, london nw1, uk"
"473","Greenland Road, Camden Town, London, United Kingdom",-0.1409831,51.5393047,"greenland rd, camden town, london nw1, uk"
"474","St Martins Close, Camden Town, London, United Kingdom",-0.1383009,51.5386917,"st martins cl, camden town, london nw1, uk"
"475","Rochester Row, Westminster, London, United Kingdom",-0.1367983,51.4942081,"rochester row, westminster, london, uk"
"476","Rampayne Street, Pimlico, London, United Kingdom",-0.1334864,51.4896392,"rampayne st, pimlico, london sw1v, uk"
"477","Upper Grosvenor Street, Mayfair, London, United Kingdom",-0.1543829,51.5103558,"upper grosvenor st, mayfair, london, uk"
"478","Westminster University, Marylebone, London, United Kingdom",-0.1549735,51.5223523,"35 marylebone rd, marylebone, london nw1 5ls, uk"
"479","Ferndale Road, Brixton. , London, United Kingdom",-0.1220255,51.4627695,"ferndale rd, ferndale, london, uk"
"480","Sopwith Way, Battersea Park, London, United Kingdom",-0.1564981,51.4791075,"battersea park, battersea, london sw11 4nj, uk"
"481","Braham Street, Aldgate, London, United Kingdom",-0.0717952,51.5143378,"1 braham st, whitechapel, london e1 8ep, uk"
"482","Charlotte Street, Fitzrovia, London, United Kingdom",-0.1361136,51.5189884,"charlotte pl, fitzrovia, london w1t, uk"
"483","Dorothy Road, Clapham Junction, London, United Kingdom",-0.1690537,51.4636882,"clapham junction, st john's hill, battersea, london sw11 2qp, uk"
"484","Oxford Road, Putney, London, United Kingdom",-0.212071,51.4616335,"oxford rd, putney, london sw15, uk"
"485","Sumner Place, South Kensington, London, United Kingdom",-0.1748406,51.4922906,"sumner pl, south kensington, london, uk"
"486","Barons Court Station, West Kensington, London, United Kingdom",-0.213467,51.4903046,"barons court station, hammersmith, london w14 9ea, uk"
"487","Kennington Station, Kennington, London, United Kingdom",-0.105614,51.4882737,"kennington, london se11 4jq, uk"
"488","Pritchard's Road, Bethnal Green, London, United Kingdom",-0.0623749,51.5338845,"pritchard's rd, london e2, uk"
"489","Crinan Street, King's Cross, London, United Kingdom",-0.1216643,51.5340971,"crinan st, kings cross, london n1c, uk"
"490","Jubilee Street, Stepney, London, United Kingdom",-0.0529729,51.517158,"jubilee st, stepney green, london e1, uk"
"491","Grant Road East, Clapham Junction, London, United Kingdom",-0.1709047,51.4654314,"clapham junction grant road (stop r), battersea, london sw11 2nu, uk"
"492","Regency Street, Westminster, London, United Kingdom",-0.1322569,51.4923495,"regency st, westminster, london, uk"
"493","Felsham Road, Putney, London, United Kingdom",-0.2203147,51.4661342,"felsham rd, putney, london sw15, uk"
"494","Putney Bridge Station, Fulham, London, United Kingdom",-0.2097248,51.4678669,"putney bridge underground station, fulham, london sw6 3uh, uk"
"495","Jubilee Gardens, South Bank, London, United Kingdom",-0.1183974,51.5039786,"jubilee gardens, belvedere rd, south bank, london se1 7pg, uk"
"496","Claremont Square, Angel, London, United Kingdom",-0.1105609,51.5307648,"claremont square, the angel, london, uk"
"497","Lambeth Road, Vauxhall, London, United Kingdom",-0.1232035,51.4835944,"s lambeth rd, vauxhall, london, uk"
"498","Doddington Grove, Kennington, London, United Kingdom",-0.1048228,51.4851365,"doddington grove, london, uk"
"499","Tavistock Street, Covent Garden, London, United Kingdom",-0.1205197,51.5120986,"tavistock st, west end, london, uk"
"500","York Hall, Bethnal Green, London, United Kingdom",-0.055257,51.5296851,"5 old ford rd, london e2 9pj, uk"
"501","Grove End Road, St. John's Wood, London, United Kingdom",-0.1767,51.5310445,"grove end rd, st john's wood, london nw8, uk"
"502","Burdett Road, Mile End, London, United Kingdom",-0.0333874,51.5213854,"burdett rd, mile end, london, uk"
"503","Southampton Street, Strand, London, United Kingdom",-0.1221908,51.5110989,"southampton st, west end, london wc2e, uk"
"504","Jewry Street, Aldgate, London, United Kingdom",-0.0767688,51.5135659,"aldgate & jewry street, london ec3n 1lh, uk"
"505","Portland Place, Marylebone, London, United Kingdom",-0.1449157,51.5203055,"portland pl, marylebone, london, uk"
"506","Tyers Gate, Bermondsey, London, United Kingdom",-0.0828592,51.5009687,"tyers gate, bermondsey, london se1, uk"
"507","Alpha Grove, Millwall, London, United Kingdom",-0.0229923,51.4996602,"alpha grove, millwall, london e14, uk"
"508","Farringdon Lane, Clerkenwell, London, United Kingdom",-0.1073094,51.5230557,"farringdon ln, clerkenwell, london ec1r, uk"
"509","Borough High Street, The Borough, London, United Kingdom",-0.0915216,51.5034702,"borough high st, london se1, uk"
