"","id","fast_greedy","walks","infomap","louvain"
"440","323",1,2,1,3
"441","324",1,3,1,4
"442","327",1,3,1,3
"443","329",4,1,3,1
"444","331",1,3,1,3
"445","336",1,3,1,4
"446","338",1,3,1,4
"447","343",4,1,3,1
"448","344",1,3,1,3
"449","349",2,1,2,1
"450","351",1,3,1,3
"451","352",3,1,1,4
"452","353",2,1,1,4
"453","360",2,1,1,4
"454","361",1,3,1,4
"455","365",1,3,1,3
"456","370",4,1,3,1
"457","373",2,1,2,2
"458","377",1,3,1,4
"459","381",4,3,3,1
"460","388",4,3,1,1
"461","390",1,2,1,3
"462","399",1,2,1,3
"463","401",1,2,1,3
"464","409",1,3,1,4
"465","412",3,3,1,4
"466","420",1,3,1,4
"467","425",4,3,1,1
"468","440",3,1,1,4
"469","441",3,3,1,4
"470","443",1,2,1,3
"471","444",1,2,1,3
"472","446",1,2,1,3
"473","449",1,2,1,3
"474","450",1,2,1,3
"475","452",1,2,1,4
"476","457",4,3,1,1
"477","458",1,2,1,4
"478","460",1,2,1,3
"479","462",4,3,1,1
"480","464",1,2,1,3
"481","466",1,2,1,3
"482","467",1,2,1,3
"483","475",1,2,1,3
"484","477",1,2,1,3
"485","479",1,2,1,3
"486","480",1,2,1,3
"487","483",1,2,1,3
"488","485",1,2,1,3
"489","489",1,2,1,3
"490","495",1,2,1,3
"491","496",1,2,1,3
"492","498",1,2,1,3
"493","500",1,2,1,3
"494","503",1,2,1,3
"495","505",1,2,1,3
"496","507",1,2,1,3
"497","509",1,3,1,4
"498","511",1,2,1,3
"499","517",1,2,1,3
"500","520",1,2,1,3
"501","521",1,2,1,3
"502","522",1,2,1,3
"503","533",1,2,1,3
"504","537",1,2,1,3
"505","542",1,2,1,3
"506","546",1,3,1,4
"507","549",1,3,1,4
"508","552",1,2,1,3
"509","553",1,2,1,3
"510","561",1,2,1,3
"511","564",1,3,1,4
"512","569",1,2,1,3
"513","572",4,3,1,1
"514","577",1,2,1,3
"515","578",1,2,1,3
"516","580",3,3,1,4
"517","604",4,3,1,1
"518","610",2,1,2,2
"519","620",2,1,2,2
"520","625",2,1,2,2
"521","645",1,3,1,4
"522","654",3,1,1,4
"523","702",1,2,1,3
"524","706",1,3,1,4
"525","722",1,2,1,3
"526","723",2,1,2,2
"527","763",1,2,1,3
"528","768",2,1,2,2
"529","777",2,1,2,2
"530","779",1,2,1,3
"531","783",1,2,4,3
"532","784",1,2,4,3
"533","785",1,2,4,3
"534","790",1,2,4,3
"535","792",1,3,1,4
"536","793",4,3,1,1
"537","796",4,3,1,1
"538","811",1,2,1,3
"539","814",3,1,1,4
"540","832",3,1,1,4
"541","12",4,3,1,1
"542","23",4,3,1,1
"543","46",1,2,1,4
"544","70",4,3,1,1
"545","76",4,1,3,1
"546","148",2,1,1,4
"547","152",1,3,1,4
"548","185",2,1,2,4
"549","201",4,1,3,1
"550","227",4,3,1,1
"551","279",4,1,3,1
"552","281",3,1,1,4
"553","306",4,3,1,1
"554","330",2,1,2,2
"555","335",4,3,1,1
"556","364",4,3,1,1
"557","419",2,1,2,2
"558","421",1,3,1,4
"559","431",4,3,1,1
"560","439",4,3,1,1
"561","492",1,2,1,3
"562","535",4,1,3,1
"563","558",2,1,1,4
"564","670",2,1,2,2
"565","684",2,1,2,2
"566","725",1,3,1,4
"567","751",4,3,1,1
"568","795",4,3,1,1
"569","806",4,3,1,1
"570","809",4,3,1,1
"571","813",3,1,1,4
"572","833",3,1,1,4
"573","105",2,1,2,2
"574","146",2,1,2,2
"575","161",2,1,2,4
"576","188",4,1,3,1
"577","209",2,1,2,2
"578","220",2,1,2,2
"579","245",2,1,2,2
"580","247",4,1,3,1
"581","249",1,3,1,4
"582","250",2,1,2,2
"583","259",2,1,2,2
"584","270",3,1,1,4
"585","280",2,1,2,2
"586","289",2,1,2,2
"587","314",1,3,1,4
"588","359",3,1,1,4
"589","376",2,1,1,4
"590","380",2,1,2,2
"591","389",2,1,2,2
"592","423",2,1,2,2
"593","426",2,1,1,4
"594","528",2,1,2,2
"595","581",4,1,3,1
"596","588",1,2,1,3
"597","596",2,1,2,2
"598","607",2,1,2,2
"599","609",2,1,2,2
"600","612",2,1,2,2
"601","617",2,1,2,2
"602","618",2,1,2,2
"603","621",2,1,2,2
"604","624",3,1,1,4
"605","627",2,1,2,2
"606","628",2,1,2,2
"607","631",2,1,2,2
"608","632",2,1,2,2
"609","640",2,1,2,2
"610","642",2,1,2,2
"611","648",2,1,2,2
"612","651",2,1,2,2
"613","653",2,1,2,2
"614","656",2,1,2,2
"615","658",2,1,2,2
"616","664",2,1,2,2
"617","677",2,1,2,2
"618","679",2,1,2,2
"619","681",2,1,2,2
"620","683",2,1,2,2
"621","690",2,1,2,2
"622","701",2,1,2,2
"623","704",2,1,2,2
"624","710",2,1,2,2
"625","711",2,1,2,2
"626","714",2,1,2,2
"627","724",2,1,2,2
"628","726",2,1,2,2
"629","731",2,1,2,2
"630","747",2,1,2,2
"631","750",2,1,2,2
"632","756",2,1,2,2
"633","759",4,1,3,1
"634","760",4,1,3,1
"635","764",2,1,2,2
"636","765",2,1,2,2
"637","769",2,1,2,2
"638","772",3,1,1,4
"639","776",2,1,2,2
"640","800",2,1,2,2
"641","807",2,1,2,2
"642","827",3,3,1,4
"643","830",3,1,1,4
"644","834",2,1,2,2
"645","7",4,1,3,1
"646","8",4,1,3,1
"647","80",1,3,1,4
"648","100",3,1,1,4
"649","110",4,1,3,1
